what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1415745636400
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1415745638282
activated,editor,org.eclipse.jdt.ui,3.10.1.v20140817-1500,"org.eclipse.jdt.ui.CompilationUnitEditor",1415745640392
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.paste",1415745647015
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1415745691303
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1415745702188
error,log,,,"Internal Error",1415745706670
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1415745711492
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1415745719975
executed,command,org.eclipse.jdt.ui,3.10.1.v20140817-1500,"org.eclipse.jdt.ui.edit.text.java.format",1415745734443
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1415745748692
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1415745781748
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.copy",1415745789042
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.paste",1415745791692
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.paste",1415745793455
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.paste",1415745795505
activated,editor,org.eclipse.jdt.ui,3.10.1.v20140817-1500,"org.eclipse.jdt.ui.CompilationUnitEditor",1415745822237
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.copy",1415745829906
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1415745832996
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1415745839974
activated,editor,org.eclipse.jdt.ui,3.10.1.v20140817-1500,"org.eclipse.jdt.ui.CompilationUnitEditor",1415745843738
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.paste",1415745846327
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.paste",1415745852752
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.undo",1415745902227
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.undo",1415745902807
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.redo",1415745909197
executed,command,org.eclipse.jdt.ui,3.10.1.v20140817-1500,"org.eclipse.jdt.ui.edit.text.java.format",1415745998149
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1415746035635
started,bundle,org.eclipse.ui.cheatsheets,3.4.200.v20131227-1524,"org.eclipse.ui.cheatsheets",1415746046867
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1415746154698
executed,command,org.eclipse.jdt.ui,3.10.1.v20140817-1500,"org.eclipse.jdt.ui.edit.text.java.format",1415746159678
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.selectAll",1415746162398
executed,command,org.eclipse.jdt.ui,3.10.1.v20140817-1500,"org.eclipse.jdt.ui.edit.text.java.format",1415746164578
executed,command,org.eclipse.jdt.ui,3.10.1.v20140817-1500,"org.eclipse.jdt.ui.edit.text.java.format",1415746179820
